ts_code,name,industry
000892.SZ,欢瑞世纪,可选消费
000893.SZ,亚钾国际,材料
000895.SZ,双汇发展,日常消费
000897.SZ,津滨发展,房地产
000898.SZ,鞍钢股份,材料
000899.SZ,赣能股份,公用事业
000900.SZ,现代投资,工业
000901.SZ,航天科技,可选消费
000902.SZ,新洋丰,材料
000903.SZ,云内动力,工业
000905.SZ,厦门港务,工业
000906.SZ,浙商中拓,工业
000908.SZ,景峰医药,医疗保健
000909.SZ,ST数源,工业
000910.SZ,大亚圣象,材料
000911.SZ,广农糖业,日常消费
000912.SZ,泸天化,材料
000913.SZ,钱江摩托,可选消费
000915.SZ,华特达因,医疗保健
000917.SZ,电广传媒,可选消费
000919.SZ,金陵药业,医疗保健
000920.SZ,沃顿科技,材料
000921.SZ,海信家电,可选消费
000922.SZ,佳电股份,工业
000923.SZ,河钢资源,材料
000925.SZ,众合科技,工业
000926.SZ,福星股份,房地产
000927.SZ,中国铁物,工业
000928.SZ,中钢国际,工业
000929.SZ,兰州黄河,日常消费
000930.SZ,中粮科技,材料
000931.SZ,中关村,医疗保健
000932.SZ,华菱钢铁,材料
000933.SZ,神火股份,材料
000935.SZ,四川双马,材料
000936.SZ,华西股份,材料
000937.SZ,冀中能源,能源
000938.SZ,紫光股份,信息技术
000948.SZ,南天信息,信息技术
000949.SZ,新乡化纤,材料
000950.SZ,重药控股,医疗保健
000951.SZ,中国重汽,工业
000952.SZ,广济药业,医疗保健
000953.SZ,河化股份,材料
000955.SZ,欣龙控股,可选消费
000957.SZ,中通客车,可选消费
000958.SZ,电投产融,公用事业
000959.SZ,首钢股份,材料
000960.SZ,锡业股份,材料
000961.SZ,中南建设,房地产
000962.SZ,东方钽业,材料
000963.SZ,华东医药,医疗保健
000965.SZ,天保基建,房地产
000966.SZ,长源电力,公用事业
000967.SZ,盈峰环境,工业
000968.SZ,蓝焰控股,能源
000969.SZ,安泰科技,材料
000970.SZ,中科三环,材料
000971.SZ,ST高升,信息技术
000972.SZ,中基健康,日常消费
000973.SZ,佛塑科技,材料
000975.SZ,银泰黄金,材料
000976.SZ,ST华铁,工业
000977.SZ,浪潮信息,信息技术
000978.SZ,桂林旅游,可选消费
000980.SZ,众泰汽车,可选消费
000981.SZ,山子股份,可选消费
000982.SZ,中银绒业,可选消费
000983.SZ,山西焦煤,能源
000985.SZ,大庆华科,材料
000987.SZ,越秀资本,金融
000988.SZ,华工科技,信息技术
000989.SZ,九芝堂,医疗保健
000990.SZ,诚志股份,材料
000993.SZ,闽东电力,公用事业
000995.SZ,皇台酒业,日常消费
000996.SZ,*ST中期,可选消费
000997.SZ,新大陆,信息技术
000998.SZ,隆平高科,日常消费
000999.SZ,华润三九,医疗保健
001201.SZ,东瑞股份,日常消费
001202.SZ,炬申股份,工业
001203.SZ,大中矿业,材料
001205.SZ,盛航股份,工业
001206.SZ,依依股份,日常消费
001207.SZ,联科科技,材料
001208.SZ,华菱线缆,工业
001209.SZ,洪兴股份,可选消费
001210.SZ,金房能源,公用事业
001211.SZ,双枪科技,材料
001212.SZ,中旗新材,工业
001213.SZ,中铁特货,工业
001215.SZ,千味央厨,日常消费
001216.SZ,华瓷股份,材料
001217.SZ,华尔泰,材料
001218.SZ,丽臣实业,材料
001219.SZ,青岛食品,日常消费
001222.SZ,源飞宠物,日常消费
001223.SZ,欧克科技,工业
001225.SZ,和泰机电,工业
001226.SZ,拓山重工,工业
001227.SZ,兰州银行,金融
001228.SZ,永泰运,工业
001229.SZ,魅视科技,信息技术
001230.SZ,劲旅环境,工业
001231.SZ,农心科技,材料
001234.SZ,泰慕士,可选消费
001236.SZ,弘业期货,金融
001238.SZ,浙江正特,可选消费
001239.SZ,永达股份,工业
001255.SZ,博菲电气,工业
001256.SZ,炜冈科技,工业
001258.SZ,立新能源,公用事业
001259.SZ,利仁科技,可选消费
001260.SZ,坤泰股份,可选消费
001266.SZ,宏英智能,信息技术
001267.SZ,汇绿生态,工业
001268.SZ,联合精密,工业
001269.SZ,欧晶科技,材料
001270.SZ,铖昌科技,工业
001278.SZ,一彬科技,可选消费
001282.SZ,三联锻造,可选消费
001283.SZ,豪鹏科技,工业
001286.SZ,陕西能源,公用事业
001287.SZ,中电港,信息技术
001288.SZ,运机集团,工业
001289.SZ,龙源电力,公用事业
001296.SZ,长江材料,材料
001298.SZ,好上好,信息技术
001299.SZ,美能能源,公用事业
001300.SZ,三柏硕,可选消费
001301.SZ,尚太科技,材料
001306.SZ,夏厦精密,工业
001308.SZ,康冠科技,信息技术
001309.SZ,德明利,信息技术
001311.SZ,多利科技,可选消费
001313.SZ,粤海饲料,日常消费
001314.SZ,亿道信息,可选消费
001316.SZ,润贝航科,材料
001317.SZ,三羊马,工业
001318.SZ,阳光乳业,日常消费
001319.SZ,铭科精技,可选消费
001322.SZ,箭牌家居,工业
001323.SZ,慕思股份,可选消费
001324.SZ,长青科技,工业
001326.SZ,联域股份,可选消费
001328.SZ,登康口腔,日常消费
001330.SZ,博纳影业,可选消费
001331.SZ,胜通能源,公用事业
001332.SZ,锡装股份,工业
001333.SZ,光华股份,材料
001336.SZ,楚环科技,工业
001337.SZ,四川黄金,材料
001338.SZ,永顺泰,日常消费
001339.SZ,智微智能,信息技术
001358.SZ,C兴欣,材料
001360.SZ,南矿集团,工业
001366.SZ,播恩集团,日常消费
001367.SZ,海森药业,医疗保健
001368.SZ,通达创智,可选消费
001373.SZ,翔腾新材,信息技术
001376.SZ,百通能源,公用事业
001378.SZ,德冠新材,材料
001380.SZ,华纬科技,可选消费
001696.SZ,宗申动力,可选消费
001872.SZ,招商港口,工业
001896.SZ,豫能控股,公用事业
001914.SZ,招商积余,房地产
001965.SZ,招商公路,工业
001979.SZ,招商蛇口,房地产
002001.SZ,新和成,医疗保健
002002.SZ,ST鸿达,材料
002003.SZ,伟星股份,可选消费
002004.SZ,华邦健康,材料
002005.SZ,ST德豪,信息技术
002006.SZ,精工科技,工业
002007.SZ,华兰生物,医疗保健
002008.SZ,大族激光,信息技术
002009.SZ,天奇股份,工业
002010.SZ,传化智联,工业
002011.SZ,盾安环境,工业
002012.SZ,凯恩股份,材料
002014.SZ,永新股份,材料
002015.SZ,协鑫能科,公用事业
002016.SZ,世荣兆业,房地产
002017.SZ,东信和平,信息技术
002019.SZ,亿帆医药,医疗保健
002020.SZ,京新药业,医疗保健
002021.SZ,*ST中捷,工业
002022.SZ,科华生物,医疗保健
002023.SZ,海特高新,工业
002024.SZ,ST易购,可选消费
002025.SZ,航天电器,信息技术
002026.SZ,山东威达,工业
002027.SZ,分众传媒,可选消费
002028.SZ,思源电气,工业
002029.SZ,七匹狼,可选消费
002030.SZ,达安基因,医疗保健
002031.SZ,巨轮智能,工业
002032.SZ,苏泊尔,可选消费
002033.SZ,丽江股份,可选消费
002034.SZ,旺能环境,工业
002035.SZ,华帝股份,可选消费
002036.SZ,联创电子,信息技术
002037.SZ,保利联合,材料
002038.SZ,双鹭药业,医疗保健
002039.SZ,黔源电力,公用事业
002040.SZ,南京港,工业
002041.SZ,登海种业,日常消费
002042.SZ,华孚时尚,可选消费
002043.SZ,兔宝宝,材料
002044.SZ,美年健康,医疗保健
002045.SZ,国光电器,可选消费
002046.SZ,国机精工,工业
002047.SZ,宝鹰股份,工业
002048.SZ,宁波华翔,可选消费
002049.SZ,紫光国微,信息技术
002050.SZ,三花智控,工业
002051.SZ,中工国际,工业
002052.SZ,ST同洲,可选消费
002053.SZ,云南能投,日常消费
002054.SZ,德美化工,材料
002055.SZ,得润电子,信息技术
002056.SZ,横店东磁,工业
002057.SZ,中钢天源,工业
002058.SZ,威尔泰,工业
002059.SZ,云南旅游,可选消费
002060.SZ,粤水电,工业
002061.SZ,浙江交科,工业
002062.SZ,宏润建设,工业
002063.SZ,远光软件,信息技术
002064.SZ,华峰化学,材料
002065.SZ,东华软件,信息技术
002066.SZ,瑞泰科技,材料
002067.SZ,景兴纸业,材料
002068.SZ,黑猫股份,材料
002069.SZ,獐子岛,日常消费
002072.SZ,凯瑞德,工业
002073.SZ,软控股份,工业
002074.SZ,国轩高科,工业
002075.SZ,沙钢股份,材料
002076.SZ,星光股份,可选消费
002077.SZ,大港股份,信息技术
002078.SZ,太阳纸业,材料
002079.SZ,苏州固锝,信息技术
002080.SZ,中材科技,材料
002081.SZ,金螳螂,工业
002082.SZ,万邦德,医疗保健
002083.SZ,孚日股份,可选消费
002084.SZ,海鸥住工,工业
002085.SZ,万丰奥威,可选消费
002086.SZ,*ST东洋,日常消费
002087.SZ,*ST新纺,可选消费
002088.SZ,鲁阳节能,材料
002089.SZ,*ST新海,信息技术
002090.SZ,金智科技,工业
002091.SZ,江苏国泰,工业
002092.SZ,中泰化学,材料
002093.SZ,国脉科技,信息技术
002094.SZ,青岛金王,日常消费
002095.SZ,生意宝,信息技术
002096.SZ,易普力,材料
002097.SZ,山河智能,工业
002098.SZ,浔兴股份,可选消费
002099.SZ,海翔药业,医疗保健
002100.SZ,天康生物,日常消费
002101.SZ,广东鸿图,可选消费
