trade_date,open,high,low,close,volume
2021-04-28,6433.0989,6489.7441,6410.3174,6489.7441,11723494300.0000
2021-04-29,6495.6457,6502.4250,6453.5198,6491.9281,12830543900.0000
2021-04-30,6470.3528,6503.1544,6434.7302,6485.7075,14425423900.0000
2021-05-06,6503.6009,6548.0656,6440.3308,6489.3485,15414198100.0000
2021-05-07,6505.5752,6524.1804,6439.8945,6444.4429,17751874900.0000
2021-05-10,6461.4184,6493.4965,6437.1068,6475.9938,18908013400.0000
2021-05-11,6436.2918,6472.8694,6349.7869,6456.0376,18726361100.0000
2021-05-12,6434.9139,6521.4879,6419.7374,6512.0501,15649093000.0000
2021-05-13,6448.9598,6496.9964,6426.5758,6439.0273,15965864600.0000
2021-05-14,6454.6791,6525.8036,6421.2082,6525.8036,16624340700.0000
2021-05-17,6521.8855,6613.8947,6521.8855,6578.1402,15936375800.0000
2021-05-18,6578.9710,6604.6852,6558.7784,6599.5985,13250549100.0000
2021-05-19,6582.1042,6590.9811,6544.8406,6584.3869,13518125500.0000
2021-05-20,6541.0926,6580.4366,6506.4075,6548.7111,16232992300.0000
2021-05-21,6557.4884,6570.4572,6512.8063,6527.8640,13435069500.0000
2021-05-24,6515.8325,6564.0707,6494.6163,6544.1218,13722661200.0000
2021-05-25,6549.3436,6628.6931,6524.3027,6619.6707,14469203600.0000
2021-05-26,6631.3657,6642.3799,6612.4227,6628.2065,15623700300.0000
2021-05-27,6629.2373,6685.4829,6620.7204,6685.4054,14516667600.0000
2021-05-28,6699.2840,6718.0899,6643.6437,6668.1696,15731838500.0000
2021-05-31,6681.5496,6729.0737,6667.2578,6728.9906,14692949300.0000
2021-06-01,6718.6433,6742.9797,6656.6634,6739.7624,16109195700.0000
2021-06-02,6740.5032,6748.1510,6662.7512,6681.4285,15736532000.0000
2021-06-03,6680.1048,6744.5182,6654.4553,6667.7264,15488569100.0000
2021-06-04,6642.0602,6725.6862,6628.0059,6693.0574,13786640400.0000
2021-06-07,6705.7364,6729.8451,6689.7015,6721.5019,14056089600.0000
2021-06-08,6726.0868,6752.6266,6652.3908,6684.5626,13868494700.0000
2021-06-09,6677.1376,6712.2520,6656.0547,6692.9049,13651103400.0000
2021-06-10,6688.8192,6773.4555,6683.4936,6765.6436,15428096400.0000
2021-06-11,6773.6422,6775.8628,6717.2725,6725.9152,16956960700.0000
2021-06-15,6734.0952,6736.5371,6649.2043,6663.6623,15220925000.0000
2021-06-16,6659.4935,6662.7783,6554.8926,6566.2860,13680787700.0000
2021-06-17,6554.3012,6618.5036,6554.3012,6616.1740,12449256200.0000
2021-06-18,6610.2661,6671.8815,6587.0346,6657.7635,13802258100.0000
2021-06-21,6652.6527,6722.9843,6638.5170,6707.1762,14303117200.0000
2021-06-22,6723.2981,6748.9655,6691.8215,6739.7939,14654349700.0000
2021-06-23,6741.5770,6803.9743,6720.5819,6789.9464,15530960900.0000
2021-06-24,6791.8613,6791.8613,6743.3265,6754.8657,14504652200.0000
2021-06-25,6748.8658,6824.8583,6739.0158,6813.4138,15148565900.0000
2021-06-28,6814.3170,6843.5186,6802.8584,6828.5162,14550405000.0000
2021-06-29,6833.0565,6835.0483,6756.9158,6765.4201,13662572200.0000
2021-06-30,6767.7419,6812.3797,6757.3403,6808.1831,12540616100.0000
2021-07-01,6827.6968,6827.6968,6716.6658,6716.6658,13835081100.0000
2021-07-02,6701.0642,6718.5052,6651.4849,6658.0451,13647228700.0000
2021-07-05,6670.1262,6716.1470,6663.5441,6711.0136,13473472100.0000
2021-07-06,6727.9674,6747.8474,6633.6146,6709.4983,14501795400.0000
2021-07-07,6661.8535,6765.4341,6642.5714,6764.1319,14764695200.0000
2021-07-08,6774.8448,6797.0765,6740.8503,6748.6540,15956454300.0000
2021-07-09,6721.6089,6814.6529,6683.7857,6804.5389,16610700400.0000
2021-07-12,6852.4754,6926.7584,6840.0176,6904.3818,19356104400.0000
2021-07-13,6901.8116,6961.9744,6889.0257,6961.8475,17962084300.0000
2021-07-14,6953.8224,6973.6146,6898.7502,6898.7502,17173544800.0000
2021-07-15,6874.8047,6936.5787,6828.4823,6932.4060,17322110800.0000
2021-07-16,6931.0514,6992.8342,6922.3462,6925.1232,18490785800.0000
2021-07-19,6912.0980,6931.1438,6856.6499,6889.3375,16973481800.0000
2021-07-20,6831.0513,6901.1329,6825.8225,6901.1318,14014063000.0000
2021-07-21,6923.6119,6998.2849,6922.9205,6984.5418,16300927100.0000
2021-07-22,6996.2552,7026.7337,6960.2973,7026.5482,19023331600.0000
2021-07-23,7036.2979,7061.6675,6968.3065,6985.7499,22507907400.0000
2021-07-26,6974.1092,6986.4970,6778.4971,6868.2074,20819723900.0000
2021-07-27,6877.4423,6925.9705,6719.2557,6719.2557,22861433900.0000
2021-07-28,6650.1519,6709.2256,6534.9179,6621.9845,19726716600.0000
